id,span,label,start,end
111111111,The next transmission could be more pronounced or stronger,Appeal_to_Authority,265,323
111111111,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",Appeal_to_Authority,1795,1935
111111111,appeared,Doubt,149,157
111111111,"a very, very different",Repetition,1069,1091
111111111,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",Appeal_to_fear-prejudice,1334,1462
111111111,but warned that the danger was not over,Appeal_to_fear-prejudice,1577,1616
111111111,the magnitude in the next transmission could be higher,Appeal_to_fear-prejudice,1856,1910
111111111,it could even spill over into neighbouring countries and beyond,Appeal_to_fear-prejudice,2023,2086
111111112,Stop Islamization of America,Slogans,191,219
111111112,We condemn all those whose behaviours and views run counter to our shared values,Black-and-White_Fallacy,476,556
111111112,"Defeat Jihad""",Slogans,785,798
111111112,"the nation that gave the world the Magna Carta is dead""",Loaded_Language,958,1013
111111112,"The UK should never become a stage for inflammatory speakers who promote hate.""",Flag-Waving,1456,1535
111111112,hate preachers,"Name_Calling,Labeling",1810,1824
111111112,"delighted"" with the decision",Loaded_Language,2095,2123
111111112,a striking blow against freedom,Loaded_Language,911,942
111111112,so-called land of democracy and freedom of speech,"Name_Calling,Labeling",1738,1787
111111113,hair trigger in single-action mode,Loaded_Language,1396,1430
111111113,"sanctuary"" policy","Name_Calling,Labeling",3082,3099
111111113,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""","Whataboutism,Straw_Men,Red_Herring",3828,3985
111111113,pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies,Causal_Oversimplification,361,467
111111113,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",Causal_Oversimplification,3580,3741
111111113,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails,Causal_Oversimplification,4865,5006
111111113,a complete travesty of justice,Loaded_Language,5743,5773
111111113,"BUILD THE WALL!""",Slogans,5775,5791
111111113,firestorm of outrage,Loaded_Language,259,279
111111113,alien,Loaded_Language,3658,3663
111111113,The Kate Steinle killer,"Name_Calling,Labeling",5556,5579
111111114,they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country,Appeal_to_fear-prejudice,1705,1824
111111115,"aggressively stuck his tongue in my mouth""",Loaded_Language,658,700
111111115,"wet, open-mouthed kiss""",Loaded_Language,1870,1893
111111115,"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described",Appeal_to_Authority,1655,1745
111111115,"and squeezed ""at least twice""",Loaded_Language,2389,2418
111111117,the delay signaled the White House was having second thoughts about the nomination,Causal_Oversimplification,671,753
111111122,Exploding in Trump’s Face,Loaded_Language,24,49
111111122,the biggest political gift possible,"Exaggeration,Minimisation",170,205
111111122,complete hash,Loaded_Language,343,356
111111122,how badly Trump does his job,Doubt,449,477
111111122,reflected the reality-TV star’s weakness as a presidential candidate,Doubt,888,956
111111122,reality-TV star’s,"Name_Calling,Labeling",902,919
111111122,Trump is easily manipulated by those around him,Doubt,1475,1522
111111122,cut-of-his-jib test,Loaded_Language,1636,1655
111111122,severe trouble,Loaded_Language,3210,3224
111111122,Trump hasn’t learned it yet,Doubt,3413,3440
111111122,extremely high-profile episode,"Exaggeration,Minimisation",3489,3519
111111122,Trump and his White House staff failed to do their jobs,Doubt,3991,4046
111111122,a slur on all women,Loaded_Language,4449,4468
111111122,a gang that can’t shoot straight,"Name_Calling,Labeling",5027,5059
111111122,ugly ways,Loaded_Language,5131,5140
111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",Appeal_to_Authority,5529,5653
111111122,cut-of-his-jib test,Loaded_Language,5778,5797
111111122,someone who hires based on what he thinks someone doing that job should look like,Causal_Oversimplification,5840,5921
111111122,hazy old-time Hollywood casting,Loaded_Language,5950,5981
111111122,bombshells,Loaded_Language,6441,6451
111111122,"partisan, conservative judges","Name_Calling,Labeling",6839,6868
111111123,hypocritical,Loaded_Language,4321,4333
111111124,has blasted,Loaded_Language,2650,2661
111111124,are blasting,Loaded_Language,4098,4110
111111124,a President who cares about nothing about the country and everything about his narrow self-interest,"Name_Calling,Labeling",4661,4760
111111124,sheer number,"Exaggeration,Minimisation",3368,3380
111111124,Agencies scramble,Loaded_Language,0,17
111111124,were scrambling,Loaded_Language,107,122
111111124,has hamstrung the administration for more than 18 months,Loaded_Language,282,338
111111124,disgraced former FBI officials,"Name_Calling,Labeling",510,540
111111124,fired FBI Special Agent,"Name_Calling,Labeling",2478,2501
111111124,are touting the president’s order,Loaded_Language,3557,3590
111111124,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,Causal_Oversimplification,4170,4377
111111124,a red line that must not be crossed,Loaded_Language,4540,4575
111111124,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,Doubt,4622,4760
111111124,a partisan memo,"Name_Calling,Labeling",4920,4935
111111124,clear abuse of power,"Name_Calling,Labeling",4144,4164
111111131,unprecedented,Loaded_Language,84,97
111111131,surreal,Loaded_Language,102,109
111111131,culminated,Loaded_Language,180,190
111111131,fulsome,Loaded_Language,207,214
111111131,triumphant,Loaded_Language,326,336
111111131,extraordinary,Loaded_Language,352,365
111111131,rogue kingdom,"Name_Calling,Labeling",382,395
111111131,despotic leader,"Name_Calling,Labeling",398,413
111111131,dramatic,Loaded_Language,723,731
111111131,forever,"Exaggeration,Minimisation",804,811
111111131,"Trump's gut-driven, norm-shattering tenure","Name_Calling,Labeling",823,865
111111131,People are going to be very impressed,Black-and-White_Fallacy,1031,1068
111111131,unwavering,Loaded_Language,1191,1201
111111131,brutal dictator,"Name_Calling,Labeling",1977,1992
111111131,unthinkable,Loaded_Language,2660,2671
111111131,acrimonious,Loaded_Language,2728,2739
111111131,big problem,Loaded_Language,2897,2908
111111131,big dilemma,Loaded_Language,2912,2923
111111131,"Working together, we'll get it taken care of",Slogans,2953,2997
111111131,increasing the drama,Loaded_Language,3396,3416
111111131,historic,Loaded_Language,3437,3445
111111131,surreality,Loaded_Language,3738,3748
111111131,hailed,Loaded_Language,4008,4014
111111131,historic,Repetition,4030,4038
111111131,very talented man,"Name_Calling,Labeling",4152,4169
111111131,brutal,Loaded_Language,4224,4230
111111131,praising,Loaded_Language,4256,4264
111111131,very talented,Repetition,4339,4352
111111131,brutal dictator,Repetition,4531,4546
111111131,striking,Loaded_Language,4635,4643
111111131,fierce criticism,Loaded_Language,4752,4768
111111131,fearsome renegade,Loaded_Language,4882,4899
111111131,"""absolutely""",Loaded_Language,5174,5186
111111131,heralded a new era,"Exaggeration,Minimisation",5244,5262
111111131,historic,Repetition,5281,5289
111111131,The world,"Exaggeration,Minimisation",5369,5378
111111131,our soldiers,Flag-Waving,5904,5916
111111131,our soldiers,Repetition,5938,5950
111111131,commanding leader,"Name_Calling,Labeling",6920,6937
111111131,world-altering,"Exaggeration,Minimisation",6957,6971
111111131,futuristic,"Name_Calling,Labeling",7314,7324
111111131,dictator,Repetition,7700,7708
111111132,foundation of lies,Loaded_Language,7925,7943
111111132,huge,Loaded_Language,147,151
111111132,beneficial,"Name_Calling,Labeling",2262,2272
111111132,a good thing,"Name_Calling,Labeling",2280,2292
111111132,Bypassing the class left her vulnerable to bullying,Black-and-White_Fallacy,4198,4249
111111132,"“You don’t need to be reading this.
You need to be reading the Bible.”",Black-and-White_Fallacy,4427,4497
111111132,going to hell,Appeal_to_fear-prejudice,4307,4320
111111132,strongly,Loaded_Language,4779,4787
111111132,pretty clear,Loaded_Language,7582,7594
